sentence_audio,secondNP_start
civcivi-kurt-yutacak.wav,2678
civciv-misiri-yutacak.wav,2608
kedi-baligi-yakalayacak.wav,2715
doktoru-polis-kurtaracak.wav,2772
kizi-teyze-opecek.wav,2390
sincap-findigi-yiyecek.wav,2642
cocuk-topu-tekmeleyecek.wav,2491
kopek-kemigi-saklayacak.wav,2639
bebek-dondurmayi-yalayacak.wav,2603
fareyi-kedi-bulacak.wav,2692
maymun-muzu-isiracak.wav,2515
doktor-teyzeyi-kurtaracak.wav,2418
cocugu-at-tekmeleyecek.wav,2538
cocugu-adam-kucaklayacak.wav,2624
maymunu-aslan-isiracak.wav,2592
fare-peyniri-bulacak.wav,2520
tavsani-tilki-yiyecek.wav,2622
tilkiyi-aslan-kovalayacak.wav,2742
kiz-bebegi-opecek.wav,2647
ayi-bali-bulacak.wav,2420
babayi-anne-gidiklayacak.wav,2737
baba-bebegi-gidiklayacak.wav,2660
kizi-kadin-opecek.wav,2608
bebegi-kopek-yalayacak.wav,2629
kediyi-kopek-yakalayacak.wav,2751
cocuk-oyuncagi-kucaklayacak.wav,2655
sincabi-kurt-yiyecek.wav,2601
tavsan-havucu-yiyecek.wav,2612
ayiyi-avci-bulacak.wav,2629
kopegi-adam-saklayacak.wav,2683
tilki-kuzuyu-kovalayacak.wav,2632
kiz-oyuncagi-opecek.wav,2469
