sentence_audio,secondNP_start
baba-gidiklayacak-bebegi.wav,3064
fare-bulacak-peyniri.wav,2625
maymunu-isiracak-aslan.wav,2715
kediyi-yakalayacak-kopek.wav,3002
kizi-opecek-teyze.wav,2370
kopegi-saklayacak-adam.wav,2872
maymun-isiracak-muzu.wav,2608
ayiyi-bulacak-avci.wav,2718
civciv-yutacak-misiri.wav,2915
cocugu-tekmeleyecek-at.wav,2933
tilkiyi-kovalayacak-aslan.wav,2949
doktor-kurtaracak-teyzeyi.wav,2738
kizi-opecek-kadin.wav,2786
fareyi-bulacak-kedi.wav,2679
kopek-saklayacak-kemigi.wav,2879
kiz-opecek-oyuncagi.wav,2429
babayi-gidiklayacak-anne.wav,3149
cocuk-kucaklayacak-oyuncagi.wav,2934
cocugu-kucaklayacak-adam.wav,2954
bebek-yalayacak-dondurmayi.wav,2841
tilki-kovalayacak-kuzuyu.wav,2838
bebegi-yalayacak-kopek.wav,2788
ayi-bulacak-bali.wav,2662
doktoru-kurtaracak-polis.wav,2985
kiz-opecek-bebegi.wav,2733
cocuk-tekmeleyecek-topu.wav,2901
sincap-yiyecek-findigi.wav,2640
kedi-yakalayacak-baligi.wav,2962
civcivi-yutacak-kurt.wav,2996
sincabi-yiyecek-kurt.wav,2772
tavsani-yiyecek-tilki.wav,2982
tavsan-yiyecek-havucu.wav,2911
